"filename", "language", "Python", "Ini", "toml", "Markdown", "pip requirements", "XML", "comment", "blank", "total"
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\shemas\team_shemas\team_register.py", "Python", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\app\shemas\team_shemas\team_update.py", "Python", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\config.py", "Python", 12, 0, 0, 0, 0, 0, 0, 15, 27
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\teams_service\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\alembic.ini", "Ini", 0, 116, 0, 0, 0, 0, 0, 26, 142
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\alembic\env.py", "Python", 36, 0, 0, 0, 0, 0, 12, 20, 68
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\alembic\versions\ce0e59081863_first_migration.py", "Python", 24, 0, 0, 0, 0, 0, 14, 8, 46
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\config.py", "Python", 12, 0, 0, 0, 0, 0, 0, 9, 21
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\db\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\db\base.py", "Python", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\db\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\db\models\user.py", "Python", 16, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\db\models\user_enum.py", "Python", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\db\session.py", "Python", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\app\main.py", "Python", 2, 0, 0, 0, 0, 0, 0, 4, 6
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\user_profile\requirements.txt", "pip requirements", 0, 0, 0, 0, 45, 0, 0, 0, 45
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\uv.lock", "toml", 0, 0, 986, 0, 0, 0, 0, 57, 1043
"Total", "-", 818, 327, 1001, 1, 45, 35, 156, 491, 2874
